支付宝交易记录明细查询
账号:[13813880959]
起始日期:[2023-09-12 00:00:00]    终止日期:[2023-10-12 11:28:13]
---------------------------------交易记录明细列表------------------------------------
交易号                  ,商家订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     ,
2023101122001416551416383691	,46970353797722394316555	,2023-10-11 22:43:00 ,2023-10-11 22:43:07 ,2023-10-11 22:43:07 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,茕踽客             ,收钱码收款               ,60.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023101122001116551407093518	,T200P1989302559218915474	,2023-10-11 18:08:50 ,2023-10-11 18:08:57 ,2023-10-11 19:47:00 ,淘宝        ,支付宝担保交易         ,当当**店           ,当当网 TypeScript编程 中国电力出版社 正版书籍,46.00   ,支出      ,等待确认收货  ,0.00     ,0.00     ,                    ,已支出      ,
2023101122001416551404734502	,402018040802520377430156030264000082310110065123	,2023-10-11 17:19:59 ,2023-10-11 17:20:04 ,2023-10-11 17:20:04 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,东南大学成贤学院        ,东南大学成贤学院            ,16.50   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023100822001416551438533249	,9088202310082232301897617	,2023-10-08 22:32:44 ,2023-10-08 22:32:45 ,2023-10-08 22:32:45 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,U净              ,店铺小票充值              ,10.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023100822001116551431093602	,T200P1987378647840915474	,2023-10-08 22:20:09 ,2023-10-08 22:20:14 ,2023-10-09 08:55:19 ,淘宝        ,支付宝担保交易         ,博库**店           ,健壮的Python 博库网       ,80.28   ,支出      ,等待确认收货  ,0.00     ,0.00     ,                    ,已支出      ,
2023092722001116551421387310_1981060501255915474_advance	,T200P1981060501255915474	,2023-10-08 18:50:23 ,                    ,2023-10-08 18:50:23 ,淘宝        ,支付宝担保交易         ,当当**店           ,退款-Django+Vue系统架构设计与实现,72.27   ,不计收支    ,退款成功    ,0.00     ,0.00     ,                    ,已收入      ,
2023100822001416551438040186	,CN_V1_601175959285080022	,2023-10-08 18:50:10 ,2023-10-08 18:50:10 ,2023-10-08 18:50:10 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,杭州菜鸟供应链管理有限公司   ,菜鸟裹裹-寄件费_3339917454_LP00603393087835,8.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023100822001416551430896558	,432018040802520377430156030264000072310080076408	,2023-10-08 11:38:01 ,2023-10-08 11:38:06 ,2023-10-08 11:38:06 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,东南大学成贤学院        ,东南大学成贤学院            ,17.50   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023092522001116551442304672_1979497275816915474	,T200P1979497275816915474	,2023-10-07 23:21:11 ,                    ,2023-10-07 23:21:11 ,淘宝        ,支付宝担保交易         ,x***3           ,退款-React学习手册(第二版)   ,28.00   ,不计收支    ,退款成功    ,0.00     ,0.00     ,                    ,已收入      ,
2023100522001416551458285378	,972018040802520377430156030264000052310050064639	,2023-10-05 18:22:41 ,2023-10-05 18:22:45 ,2023-10-05 18:22:45 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,东南大学成贤学院        ,东南大学成贤学院            ,17.50   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
